out_deg_centrality,[8.]
90,"[tensor(1.9403), tensor(1.8775), tensor(1.9648), tensor(1.7957), tensor(1.7912), tensor(1.7844), tensor(1.9222), tensor(1.9761), tensor(1.7573), tensor(1.9758)]"
91,"[tensor(1.7960), tensor(1.8389), tensor(1.7736), tensor(1.9724), tensor(1.8982), tensor(1.9733), tensor(1.7492), tensor(1.7698), tensor(1.9949), tensor(1.7752)]"
92,"[tensor(1.9417), tensor(1.8912), tensor(1.9708), tensor(1.7793), tensor(1.7838), tensor(1.7770), tensor(1.9235), tensor(1.9810), tensor(1.7440), tensor(1.9811)]"
93,"[tensor(1.7923), tensor(1.8367), tensor(1.7655), tensor(1.9780), tensor(1.8969), tensor(1.9777), tensor(1.7378), tensor(1.7541), tensor(2.0000), tensor(1.7597)]"
94,"[tensor(1.9437), tensor(1.9004), tensor(1.9739), tensor(1.7601), tensor(1.7835), tensor(1.7635), tensor(1.9197), tensor(1.9840), tensor(1.7348), tensor(1.9869)]"
95,"[tensor(1.7937), tensor(1.8348), tensor(1.7605), tensor(1.9842), tensor(1.8986), tensor(1.9821), tensor(1.7321), tensor(1.7468), tensor(1.9999), tensor(1.7523)]"
96,"[tensor(1.9467), tensor(1.9078), tensor(1.9759), tensor(1.7580), tensor(1.7822), tensor(1.7538), tensor(1.9161), tensor(1.9846), tensor(1.7274), tensor(1.9896)]"
97,"[tensor(1.7925), tensor(1.8375), tensor(1.7558), tensor(1.9870), tensor(1.8979), tensor(1.9817), tensor(1.7281), tensor(1.7399), tensor(2.0023), tensor(1.7506)]"
98,"[tensor(1.9491), tensor(1.9067), tensor(1.9777), tensor(1.7572), tensor(1.7831), tensor(1.7456), tensor(1.9171), tensor(1.9871), tensor(1.7256), tensor(1.9925)]"
99,"[tensor(1.7902), tensor(1.8324), tensor(1.7552), tensor(1.9889), tensor(1.8974), tensor(1.9832), tensor(1.7257), tensor(1.7375), tensor(2.0070), tensor(1.7496)]"
